gene_human,gene,M_1_R1,M_1_R2,M_1_R3,M_2_R1,M_2_R2,M_2_R3,M_3_R1,M_3_R2,M_3_R3,H_1_R1,H_1_R2,H_1_R3,H_2_R1,H_2_R2,H_2_R3,H_3_R1,H_3_R2,H_3_R3,Gene description,Gene stable ID,Human gene stable ID,Protein stable ID,Protein.Group,Protein.Ids,Protein.Names,Protein.Group,Protein.Ids,Protein.Names
SAMD4B,Samd4b,1112.239587,0,1438.201655,0,1981.955719,1739.131592,0,644.7611346,666.4596398,15977.20567,18759.34465,16401.24203,21923.79823,23494.95156,21749.55696,18555.41153,19603.25245,20512.20585,sterile alpha motif domain containing 4B [Source:MGI Symbol;Acc:MGI:2448542],ENSMUSG00000109336,ENSG00000179134,ENSMUSP00000147037,Q5PRF9,Q5PRF9;M0QY61;M0R0X3;M0QZ22;A0A087WZT0,SMAG2_HUMAN,G5E8A7,G5E8A7,G5E8A7_MOUSE
WDR26,Wdr26,2827.462287,2490.262647,1931.261699,0,2244.830503,2433.564407,1481.77404,0,0,4879.017278,6142.623334,4329.696799,5783.287243,6721.744985,4365.69416,5053.684933,5213.89615,4286.048046,WD repeat domain 26 [Source:MGI Symbol;Acc:MGI:1923825],ENSMUSG00000038733,ENSG00000162923,ENSMUSP00000158345,A0A499FIZ0,A0A499FIZ0,A0A499FIZ0_HUMAN,A0A494BB75,A0A494BB75,A0A494BB75_MOUSE
GSN,Gsn,0,0,2394.40883,0,2270.887896,3522.95029,1865.751457,2162.496697,1744.667028,84736.82836,97654.45991,90379.42213,103665.3224,103341.0138,102673.3415,97589.4403,103097.118,103513.4739,gelsolin [Source:MGI Symbol;Acc:MGI:95851],ENSMUSG00000026879,ENSG00000148180,ENSMUSP00000144561,P06396,P06396;A0A0A0MS51;A0A0A0MT01,GELS_HUMAN,P13020,P13020;A0A0J9YUQ8;A6PWS5;A0A0J9YUJ8,GELS_MOUSE
MAP3K1,Map3k1,502.3877384,669.3919646,273.9850524,262.8312009,613.3154947,469.6829476,188.6721228,450.7188665,0,2874.605049,3551.430439,3362.261065,3004.287203,2968.322037,4555.96365,3127.275045,3353.539512,3511.232464,mitogen-activated protein kinase kinase kinase 1 [Source:MGI Symbol;Acc:MGI:1346872],ENSMUSG00000021754,ENSG00000095015,ENSMUSP00000104890,Q13233,Q13233,M3K1_HUMAN,P53349,P53349;F8VQ72,M3K1_MOUSE
NBEA,Nbea,330.9831784,295.1309302,348.8924659,315.3739747,384.0132954,374.8027386,197.4655631,340.5126231,241.3274189,657.44937,557.6199604,832.8410872,826.923269,839.7621481,955.5478626,1027.288456,927.9260147,811.6341464,neurobeachin [Source:MGI Symbol;Acc:MGI:1347075],ENSMUSG00000027799,ENSG00000172915,ENSMUSP00000029374,Q8NFP9,Q8NFP9;A0A0D9SF28;F5GXV7;Q5T321,NBEA_HUMAN,Q9EPN1,Q9EPN1,NBEA_MOUSE
ZFHX4,Zfhx4,257.5199895,196.27787,189.635712,350.5852494,277.6712916,226.9532856,281.8917645,218.9559417,146.6318099,2913.759731,2887.32805,2550.802286,3662.678369,3359.985754,3221.038963,3622.538189,2723.693887,3224.966108,zinc finger homeodomain 4 [Source:MGI Symbol;Acc:MGI:2137668],ENSMUSG00000025255,ENSG00000091656,ENSMUSP00000135827,A0A494BZV7;E5RI93;E7EVZ1,A0A494BZV7;E5RI93;E7EVZ1,A0A494BZV7_HUMAN;E5RI93_HUMAN;E7EVZ1_HUMAN,Q9JJN2,Q9JJN2;E9Q5A7;H3BLK8,ZFHX4_MOUSE
FAT3,Fat3,651.8463318,431.412993,333.3956936,408.0175495,479.1139607,426.5443677,289.5903346,432.7965004,389.6001166,857.5775748,904.1659066,711.55818,1069.128616,947.3738031,1036.282308,799.8674061,913.1581166,962.6272646,FAT atypical cadherin 3 [Source:MGI Symbol;Acc:MGI:2444314],ENSMUSG00000074505,ENSG00000165323,ENSMUSP00000150638,Q8TDW7,Q8TDW7;G5EA25;E9PQ73,FAT3_HUMAN,Q8BNA6,Q8BNA6;E9QK16,FAT3_MOUSE
SPEN,Spen,467.7926997,349.0521839,704.1805181,458.6588116,651.8564235,658.1099346,589.2780516,612.7376922,581.3212074,2222.763217,2399.938346,2320.997716,2711.346552,2846.004301,2769.111896,2660.473284,2726.283115,2766.152952,spen family transcription repressor [Source:MGI Symbol;Acc:MGI:1891706],ENSMUSG00000040761,ENSG00000065526,ENSMUSP00000077925,Q96T58,Q96T58;A0A669KB49;F6WRY4;H0Y5U7,MINT_HUMAN,A2ADB0;A2ADB1,A2ADB0;A2ADB1,A2ADB0_MOUSE;A2ADB1_MOUSE
DOP1B,Dop1b,540.8319216,774.5929235,715.5394665,479.7839097,872.7035885,930.2637701,441.5285813,281.1623019,353.3814342,2875.021501,3012.367947,2976.830254,3888.141408,2888.245687,3227.741055,2689.515458,2595.562747,4613.157178,DOP1 leucine zipper like protein B [Source:MGI Symbol;Acc:MGI:1917278],ENSMUSG00000022946,ENSG00000142197,ENSMUSP00000044437,Q9Y3R5,Q9Y3R5,DOP2_HUMAN,Q3UHQ6,Q3UHQ6;A0A2I3BRW5;A0A2I3BRZ2;A0A2I3BQW4,DOP2_MOUSE
VCAN,Vcan,780.996452,658.3780162,898.4117276,484.3417937,650.5244641,816.5703548,484.2510777,776.2576693,440.7563101,2909.758428,0,2707.885627,2676.636479,3540.597543,3453.404821,3129.945887,3265.099808,3547.844241,versican [Source:MGI Symbol;Acc:MGI:102889],ENSMUSG00000021614,ENSG00000038427,ENSMUSP00000125446,P13611,P13611;E9PF17;D6RGZ6;Q86W61,CSPG2_HUMAN,Q62059,Q62059;Q8BS97;G3XA35;E9QMK3;E9QMK2;E9PYH0,CSPG2_MOUSE
MYO9A,Myo9a,841.4458128,587.1793359,553.0724207,506.0340268,557.0547611,699.1081605,325.4791422,346.6867495,371.5445136,517.0928457,0,608.3346533,706.4843886,579.6814785,462.417145,0,613.5731556,547.5343934,myosin IXa [Source:MGI Symbol;Acc:MGI:107735],ENSMUSG00000039585,ENSG00000066933,ENSMUSP00000122852,B2RTY4,B2RTY4;H3BRD5;H3BMM1,MYO9A_HUMAN,Q8C170,Q8C170;D3Z3A8,MYO9A_MOUSE
AMOTL2,Amotl2,581.5341684,607.1816234,458.6073188,581.1381221,632.2200005,0,191.9596249,293.0054017,0,3179.448249,3557.005835,3562.31537,3499.211244,5237.520487,4853.346379,5195.292947,4543.823965,4324.826345,angiomotin-like 2 [Source:MGI Symbol;Acc:MGI:1929286],ENSMUSG00000032531,ENSG00000114019,ENSMUSP00000118126,Q9Y2J4,Q9Y2J4,AMOL2_HUMAN,Q8K371,Q8K371;Q3TP05;B8JK81;A0A087WRL8;B8JK87,AMOL2_MOUSE
SRBD1,Srbd1,1377.191356,764.4003798,752.7971451,663.1929511,1069.019988,973.852229,715.8659159,438.7980927,562.1095599,12481.01577,15305.30215,13320.96457,15993.27707,16364.99819,15254.91644,16342.97504,17120.54117,17780.79642,S1 RNA binding domain 1 [Source:MGI Symbol;Acc:MGI:1925836],ENSMUSG00000024135,ENSG00000068784,ENSMUSP00000157302,Q8N5C6,Q8N5C6,SRBD1_HUMAN,F8WGW3;Q8CHZ0,Q8CHZ0;F8WGW3,F8WGW3_MOUSE;Q8CHZ0_MOUSE
TRIP12,Trip12,1549.35997,1032.210426,1003.179268,750.2603704,975.6523226,1343.670772,835.8947851,526.3936712,558.8337157,19585.09902,24570.7321,23716.75797,24762.75157,25880.63987,26280.01047,22049.54358,31217.61896,24667.57012,thyroid hormone receptor interactor 12 [Source:MGI Symbol;Acc:MGI:1309481],ENSMUSG00000026219,ENSG00000153827,ENSMUSP00000140224,A0A6Q8PHK0,G5E9G6;A0A6Q8PGG9;C9JLD7;A0A6Q8PHK0,A0A6Q8PHK0_HUMAN,A0A087WNZ7,A0A087WNZ7,A0A087WNZ7_MOUSE
KMT2D,Kmt2d,757.9450048,1160.901791,806.3433337,779.7206354,1007.009545,1058.026063,669.1005752,640.9320212,729.4810675,430.6971846,476.8309136,499.6801979,534.6967769,576.3929246,761.3280989,473.1569383,386.3303235,447.5815634,lysine (K)-specific methyltransferase 2D [Source:MGI Symbol;Acc:MGI:2682319],ENSMUSG00000048154,ENSG00000167548,ENSMUSP00000023741,O14686,O14686,KMT2D_HUMAN,Q6PDK2,Q6PDK2;A0A0A0MQ73,KMT2D_MOUSE
HECTD4,Hectd4,833.5330919,732.3899683,722.7008292,787.4044425,808.1085168,728.3211061,594.6662871,569.1769251,584.4558263,2154.14941,2688.078854,2092.472729,0,2077.606547,2505.172754,2678.76167,2441.227349,2506.659016,HECT domain E3 ubiquitin protein ligase 4 [Source:MGI Symbol;Acc:MGI:3647820],ENSMUSG00000042744,ENSG00000173064,ENSMUSP00000048345,F8VWT9;J3KPF0,J3KPF0;F8VWT9,F8VWT9_HUMAN;J3KPF0_HUMAN,E9Q2E4,E9Q2E4,E9Q2E4_MOUSE
AKAP9,Akap9,968.8112163,932.3823563,385.6648255,808.5672779,779.5607277,849.6555767,506.2035736,482.519837,280.7556083,13094.04184,13715.89077,13306.18364,14420.67402,15597.70086,14669.96684,14775.21216,14624.70099,16283.65243,A kinase (PRKA) anchor protein (yotiao) 9 [Source:MGI Symbol;Acc:MGI:2178217],ENSMUSG00000040407,ENSG00000127914,,Q99996,Q99996;A0A0A0MRF6;A0A6I8PUA5,AKAP9_HUMAN,E9QQ10,E9QQ10,E9QQ10_MOUSE
PBRM1,Pbrm1,1273.007868,578.7295266,0,843.6051963,270.6600307,463.832143,146.1270387,0,0,22839.68242,24299.33435,21248.4494,25643.46025,26317.02278,25193.24422,23745.66003,24791.94646,25328.37257,polybromo 1 [Source:MGI Symbol;Acc:MGI:1923998],ENSMUSG00000042323,ENSG00000163939,ENSMUSP00000107727,Q86U86,Q86U86;H0Y5B5;E7EVG2,PB1_HUMAN,D3Z1N4;E9Q4Y5;F8VQD1,D3Z1N4;F8VQD1;E9Q4Y5,D3Z1N4_MOUSE;E9Q4Y5_MOUSE;F8VQD1_MOUSE
FIGN,Fign,1438.310396,695.3828128,280.9857778,870.4693171,778.1572811,728.8483839,664.1155163,467.2263743,310.4622672,4165.031568,4932.114553,3747.955225,4704.933372,4553.725223,4278.710113,5679.906981,6502.364351,6057.048134,fidgetin [Source:MGI Symbol;Acc:MGI:1890647],ENSMUSG00000075324,ENSG00000182263,ENSMUSP00000122855,Q5HY92,Q5HY92,FIGN_HUMAN,Q9ERZ6,Q9ERZ6,FIGN_MOUSE
FAT1,Fat1,904.6576676,791.3940195,928.9502689,880.0726284,896.6431617,943.1199511,752.6853728,709.737941,613.7175634,666.0635821,770.9652928,0,628.0874249,736.7539172,794.2449118,782.1335524,0,565.6742113,FAT atypical cadherin 1 [Source:MGI Symbol;Acc:MGI:109168],ENSMUSG00000070047,ENSG00000083857,ENSMUSP00000140596,Q14517,Q14517;A0A087WVP1,FAT1_HUMAN,A0A087WRT4;A0A1L1SQU7;F2Z4A3,F2Z4A3;A0A087WRT4;A0A1L1SQU7,A0A087WRT4_MOUSE;A0A1L1SQU7_MOUSE;F2Z4A3_MOUSE
XRN1,Xrn1,814.6838896,1057.598313,693.4705137,891.7825424,706.9995527,729.3254503,406.6506093,581.1268555,755.5625967,3587.354629,4374.362709,3627.644366,4342.324016,4117.20076,4321.305792,4017.272275,5353.755099,4723.175253,5'-3' exoribonuclease 1 [Source:MGI Symbol;Acc:MGI:891964],ENSMUSG00000032410,ENSG00000114127,ENSMUSP00000140278,Q8IZH2,Q8IZH2;H7C5E4,XRN1_HUMAN,A0A087WQN7;F8VQ87,F8VQ87;A0A087WQN7,A0A087WQN7_MOUSE;F8VQ87_MOUSE
N4BP3,N4bp3,0,938.5327432,709.8747967,903.1344138,0,0,0,656.8477272,0,3922.239496,4422.121544,4208.103355,4637.241362,4930.983774,5331.82593,3959.881841,4924.186991,4226.15849,NEDD4 binding protein 3 [Source:MGI Symbol;Acc:MGI:2442218],ENSMUSG00000001053,ENSG00000145911,ENSMUSP00000001080,O15049,O15049,N4BP3_HUMAN,Q8C7U1,Q8C7U1,N4BP3_MOUSE
ZNF512B,Zfp512b,2768.002073,1298.301608,1217.922121,939.8857575,768.9279672,860.713683,0,0,705.0228302,4671.436217,4440.199802,4373.877922,6564.056228,8571.064586,7073.883365,8959.902553,6449.22788,6652.765967,zinc finger protein 512B [Source:MGI Symbol;Acc:MGI:2685478],ENSMUSG00000000823,ENSG00000196700,ENSMUSP00000104417,Q96KM6,Q96KM6,Z512B_HUMAN,B7ZCR6;Q6PHP4,Q6PHP4;B7ZCR6,B7ZCR6_MOUSE;Q6PHP4_MOUSE
MYT1,Myt1,1778.843514,699.5308359,1128.685053,948.8182852,606.6173685,1717.931686,1205.759788,1115.918451,1075.072504,2772.385795,2122.991978,2602.107483,2409.239501,3394.830651,3478.226982,3213.616047,2113.526642,2860.66365,myelin transcription factor 1 [Source:MGI Symbol;Acc:MGI:1100535],ENSMUSG00000010505,ENSG00000196132,ENSMUSP00000079900,Q01538,Q01538;A0A0G2JS52,MYT1_HUMAN,Q8CFC2,Q8CFC2;B0R0C1;F6SWU2,MYT1_MOUSE
JAG1,Jag1,564.5161862,885.1277606,777.7135507,967.6294501,1131.252747,1311.28801,516.8725062,951.3361985,947.7819516,5142.555769,6348.155252,3523.640379,4045.085953,5690.866485,6570.167374,5521.180804,6432.733264,6654.331097,jagged 1 [Source:MGI Symbol;Acc:MGI:1095416],ENSMUSG00000027276,ENSG00000101384,ENSMUSP00000028735,P78504,P78504,JAG1_HUMAN,Q9QXX0,Q9QXX0,JAG1_MOUSE
VPS13A,Vps13a,1108.066531,1152.502673,976.0895425,969.6034142,1307.896376,980.6117879,766.6885673,759.7314635,634.4161794,1726.809288,2096.234031,1732.46579,2086.093771,2161.063981,2088.573318,1982.313202,2309.496119,2160.446975,vacuolar protein sorting 13A [Source:MGI Symbol;Acc:MGI:2444304],ENSMUSG00000046230,ENSG00000197969,,Q96RL7,Q96RL7,VP13A_HUMAN,Q5H8C4,Q5H8C4;A0A286YCT3,VP13A_MOUSE
DMXL2,Dmxl2,581.5223577,1032.336468,791.2174894,1012.090054,1021.297606,937.9294391,573.0280527,806.6408127,590.4129413,1804.437826,2049.108625,2109.289465,2147.689024,2525.854008,2358.52787,2252.336612,1934.712682,1964.236331,Dmx-like 2 [Source:MGI Symbol;Acc:MGI:2444630],ENSMUSG00000041268,ENSG00000104093,ENSMUSP00000113705,Q8TDJ6,Q8TDJ6;H0YLM8,DMXL2_HUMAN,Q8BPN8,Q8BPN8;F6RYL8;B0V2P5,DMXL2_MOUSE
ZZEF1,Zzef1,707.1295941,778.2403794,891.0988341,1031.737969,928.5882447,897.0463458,473.2127437,561.1730359,524.3507742,1131.252515,1322.457839,1229.487843,1922.360904,1673.711988,1671.366884,1467.498135,1892.267778,2000.68137,"zinc finger, ZZ-type with EF hand domain 1 [Source:MGI Symbol;Acc:MGI:2444286]",ENSMUSG00000055670,ENSG00000074755,,O43149,O43149,ZZEF1_HUMAN,Q5SSH7,Q5SSH7;A0A140LJ04;E9Q5W5,ZZEF1_MOUSE
